id_coordenada;id_partida;id_usuario;objeto_colisionador;objeto_colisionado;x;y;fecha_hora
156;12;1;rojo;azul;651;394;2025-10-12 16:06:17
157;12;1;rojo;verde;502;509;2025-10-12 16:06:18
158;12;1;rojo;verde;117;399;2025-10-12 16:06:19
159;12;1;rojo;violeta;42;1;2025-10-12 16:06:20
160;12;1;blanco;amarillo;743;508;2025-10-12 16:06:23
161;12;1;rojo;violeta;253;504;2025-10-12 16:06:25
162;12;1;blanco;verde;404;516;2025-10-12 16:06:26
163;12;1;rojo;violeta;339;299;2025-10-12 16:06:27
164;12;1;rojo;violeta;279;410;2025-10-12 16:06:30
165;12;1;rojo;violeta;289;420;2025-10-12 16:06:30
166;12;1;rojo;violeta;240;388;2025-10-12 16:06:30
167;12;1;rojo;amarillo;397;16;2025-10-12 16:06:36
168;12;1;blanco;amarillo;251;43;2025-10-12 16:06:36
169;12;1;rojo;violeta;563;133;2025-10-12 16:06:38
170;12;1;rojo;verde;392;434;2025-10-12 16:06:39
171;12;1;blanco;amarillo;54;49;2025-10-12 16:06:40
172;12;1;rojo;verde;133;281;2025-10-12 16:06:41
173;13;1;blanco;verde;83;477;2025-10-12 16:06:56
174;13;1;blanco;verde;649;407;2025-10-12 16:07:00
175;13;1;blanco;violeta;492;411;2025-10-12 16:07:04
176;13;1;blanco;verde;94;547;2025-10-12 16:07:12
177;13;1;blanco;verde;150;533;2025-10-12 16:07:12
178;13;1;blanco;verde;150;533;2025-10-12 16:07:12
179;13;1;blanco;verde;643;530;2025-10-12 16:07:15
180;14;4;blanco;verde;582;69;2025-10-12 16:25:17
181;14;4;blanco;amarillo;349;364;2025-10-12 16:25:18
182;14;4;rojo;azul;141;35;2025-10-12 16:25:18
183;14;4;blanco;amarillo;11;450;2025-10-12 16:25:19
184;14;4;rojo;verde;551;350;2025-10-12 16:25:20
185;14;4;rojo;amarillo;41;145;2025-10-12 16:25:22
186;14;4;rojo;azul;150;138;2025-10-12 16:25:22
187;14;4;rojo;verde;154;173;2025-10-12 16:25:22
188;14;4;blanco;violeta;222;308;2025-10-12 16:25:23
189;14;4;rojo;verde;681;250;2025-10-12 16:25:23
190;14;4;rojo;verde;749;392;2025-10-12 16:25:25
191;14;4;rojo;verde;92;361;2025-10-12 16:25:26
192;14;4;rojo;verde;629;180;2025-10-12 16:25:28
193;14;4;rojo;verde;513;120;2025-10-12 16:25:29
194;14;4;blanco;amarillo;18;419;2025-10-12 16:25:29
195;14;4;rojo;verde;162;417;2025-10-12 16:25:31
196;14;4;blanco;violeta;490;300;2025-10-12 16:25:31
197;14;4;rojo;violeta;331;247;2025-10-12 16:25:33
198;14;4;rojo;verde;410;238;2025-10-12 16:25:33
199;14;4;blanco;amarillo;61;498;2025-10-12 16:25:35
200;14;4;blanco;azul;76;482;2025-10-12 16:25:35
201;14;4;rojo;verde;616;31;2025-10-12 16:25:35
202;14;4;blanco;verde;565;97;2025-10-12 16:25:37
203;14;4;rojo;verde;402;11;2025-10-12 16:25:38
204;14;4;rojo;verde;62;482;2025-10-12 16:25:40
205;14;4;blanco;azul;119;85;2025-10-12 16:25:40
206;14;4;rojo;verde;49;220;2025-10-12 16:25:41
207;14;4;rojo;verde;502;369;2025-10-12 16:25:43
208;14;4;blanco;verde;585;153;2025-10-12 16:25:43
209;15;1;rojo;amarillo;59;20;2025-10-12 16:37:15
210;15;1;blanco;verde;359;494;2025-10-12 16:37:17
211;15;1;rojo;verde;13;119;2025-10-12 16:37:17
212;15;1;rojo;amarillo;14;530;2025-10-12 16:37:18
213;15;1;rojo;amarillo;124;220;2025-10-12 16:37:22
214;15;1;blanco;verde;258;109;2025-10-12 16:37:22
215;15;1;rojo;amarillo;410;193;2025-10-12 16:37:25
216;15;1;rojo;violeta;168;236;2025-10-12 16:37:27
217;15;1;blanco;violeta;232;334;2025-10-12 16:37:27
218;15;1;rojo;amarillo;167;324;2025-10-12 16:37:31
219;15;1;rojo;verde;546;499;2025-10-12 16:37:32
220;15;1;rojo;verde;375;524;2025-10-12 16:37:33
221;15;1;blanco;violeta;737;542;2025-10-12 16:37:36
222;16;4;blanco;violeta;509;92;2025-10-12 16:49:26
223;16;4;rojo;azul;428;570;2025-10-12 16:49:30
224;16;4;rojo;azul;208;361;2025-10-12 16:49:31
225;16;4;blanco;azul;755;269;2025-10-12 16:49:31
226;16;4;rojo;azul;390;240;2025-10-12 16:49:32
227;16;4;rojo;azul;229;266;2025-10-12 16:49:33
228;16;4;blanco;amarillo;285;122;2025-10-12 16:49:34
229;16;4;rojo;azul;121;468;2025-10-12 16:49:34
230;16;4;rojo;azul;116;246;2025-10-12 16:49:35
231;16;4;rojo;verde;105;175;2025-10-12 16:49:35
232;16;4;rojo;azul;466;355;2025-10-12 16:49:37
233;16;4;blanco;azul;550;288;2025-10-12 16:49:37
234;16;4;rojo;azul;504;469;2025-10-12 16:49:37
235;16;4;rojo;azul;256;317;2025-10-12 16:49:39
236;16;4;blanco;verde;59;271;2025-10-12 16:49:39
237;16;4;rojo;verde;453;322;2025-10-12 16:49:45
238;16;4;blanco;amarillo;654;163;2025-10-12 16:49:46
239;16;4;rojo;azul;219;537;2025-10-12 16:49:47
240;16;4;rojo;azul;263;271;2025-10-12 16:49:47
241;16;4;rojo;amarillo;438;318;2025-10-12 16:49:48
242;16;4;rojo;violeta;512;186;2025-10-12 16:49:50
243;16;4;rojo;amarillo;682;140;2025-10-12 16:49:52
244;16;4;rojo;amarillo;386;430;2025-10-12 16:49:54
245;16;4;rojo;amarillo;56;548;2025-10-12 16:49:54
246;16;4;rojo;azul;365;411;2025-10-12 16:49:55
247;17;4;blanco;violeta;237;469;2025-10-12 16:50:47
248;17;4;blanco;violeta;211;158;2025-10-12 16:50:49
249;17;4;rojo;azul;449;240;2025-10-12 16:50:51
250;17;4;rojo;azul;177;187;2025-10-12 16:50:53
251;17;4;rojo;azul;393;126;2025-10-12 16:50:53
252;17;4;rojo;azul;527;88;2025-10-12 16:50:56
253;17;4;blanco;violeta;633;139;2025-10-12 16:50:57
254;17;4;blanco;violeta;54;346;2025-10-12 16:50:58
255;17;4;blanco;azul;267;419;2025-10-12 16:51:00
256;17;4;rojo;amarillo;35;546;2025-10-12 16:51:03
257;17;4;blanco;violeta;21;276;2025-10-12 16:51:04
258;17;4;blanco;amarillo;105;194;2025-10-12 16:51:04
259;17;4;blanco;violeta;454;73;2025-10-12 16:51:05
260;17;4;blanco;violeta;399;94;2025-10-12 16:51:05
261;17;4;blanco;violeta;399;94;2025-10-12 16:51:05
262;17;4;rojo;violeta;577;522;2025-10-12 16:51:06
263;17;4;rojo;amarillo;298;457;2025-10-12 16:51:13
264;18;1;blanco;verde;578;346;2025-10-12 16:51:26
265;18;1;rojo;azul;272;263;2025-10-12 16:51:26
266;18;1;blanco;violeta;231;374;2025-10-12 16:51:28
267;18;1;blanco;amarillo;153;486;2025-10-12 16:51:29
268;18;1;blanco;azul;499;523;2025-10-12 16:51:33
269;18;1;blanco;violeta;404;519;2025-10-12 16:51:33
270;18;1;blanco;amarillo;10;180;2025-10-12 16:51:34
271;18;1;blanco;verde;464;392;2025-10-12 16:51:36
272;18;1;blanco;azul;640;206;2025-10-12 16:51:42
273;18;1;rojo;amarillo;673;465;2025-10-12 16:51:42
274;18;1;blanco;violeta;687;30;2025-10-12 16:51:42
275;18;1;rojo;azul;218;422;2025-10-12 16:51:44
276;18;1;rojo;azul;267;88;2025-10-12 16:51:46
277;18;1;rojo;azul;386;31;2025-10-12 16:51:47
278;18;1;blanco;violeta;715;322;2025-10-12 16:51:47
279;18;1;blanco;azul;666;407;2025-10-12 16:51:48
280;18;1;rojo;amarillo;555;427;2025-10-12 16:51:49
281;18;1;blanco;verde;74;8;2025-10-12 16:51:50
282;18;1;blanco;verde;143;91;2025-10-12 16:51:50
283;18;1;rojo;violeta;605;56;2025-10-12 16:51:52
284;19;6;blanco;azul;728;355;2025-10-12 16:57:12
285;19;6;blanco;azul;736;335;2025-10-12 16:57:12
286;19;6;blanco;violeta;713;245;2025-10-12 16:57:12
287;19;6;rojo;violeta;280;214;2025-10-12 16:57:14
288;19;6;blanco;amarillo;62;323;2025-10-12 16:57:14
289;19;6;blanco;verde;73;481;2025-10-12 16:57:15
290;19;6;rojo;violeta;598;85;2025-10-12 16:57:16
291;19;6;rojo;azul;623;491;2025-10-12 16:57:16
292;19;6;blanco;verde;657;34;2025-10-12 16:57:17
293;19;6;rojo;violeta;740;506;2025-10-12 16:57:17
294;19;6;rojo;verde;339;475;2025-10-12 16:57:18
295;19;6;rojo;violeta;79;331;2025-10-12 16:57:19
296;19;6;rojo;violeta;176;417;2025-10-12 16:57:20
297;19;6;rojo;violeta;243;378;2025-10-12 16:57:21
298;19;6;blanco;azul;474;122;2025-10-12 16:57:21
299;19;6;blanco;azul;554;185;2025-10-12 16:57:22
300;19;6;rojo;violeta;507;314;2025-10-12 16:57:22
301;19;6;rojo;violeta;224;208;2025-10-12 16:57:24
302;19;6;blanco;amarillo;42;167;2025-10-12 16:57:25
303;19;6;blanco;azul;146;268;2025-10-12 16:57:26
304;19;6;blanco;azul;675;199;2025-10-12 16:57:28
305;19;6;blanco;azul;684;227;2025-10-12 16:57:28
306;19;6;blanco;azul;684;227;2025-10-12 16:57:28
307;19;6;blanco;amarillo;651;19;2025-10-12 16:57:32
308;19;6;blanco;amarillo;726;64;2025-10-12 16:57:33
309;19;6;blanco;verde;178;23;2025-10-12 16:57:36
310;19;6;blanco;amarillo;303;19;2025-10-12 16:57:36
311;19;6;blanco;verde;579;305;2025-10-12 16:57:37
312;19;6;blanco;violeta;735;579;2025-10-12 16:57:38
313;20;1;blanco;violeta;89;367;2025-10-12 17:17:45
314;20;1;blanco;verde;92;116;2025-10-12 17:17:50
315;20;1;rojo;azul;27;447;2025-10-12 17:17:55
316;20;1;blanco;violeta;217;406;2025-10-12 17:17:56
317;20;1;rojo;amarillo;385;117;2025-10-12 17:17:58
318;20;1;rojo;verde;590;386;2025-10-12 17:17:59
319;20;1;blanco;amarillo;382;496;2025-10-12 17:17:59
320;20;1;rojo;violeta;708;417;2025-10-12 17:17:59
321;20;1;rojo;verde;552;131;2025-10-12 17:18:00
322;20;1;rojo;amarillo;607;250;2025-10-12 17:18:01
323;20;1;rojo;violeta;660;542;2025-10-12 17:18:01
324;20;1;blanco;verde;443;91;2025-10-12 17:18:02
325;20;1;rojo;amarillo;358;313;2025-10-12 17:18:02
326;20;1;rojo;azul;70;104;2025-10-12 17:18:04
327;20;1;rojo;violeta;107;18;2025-10-12 17:18:04
328;20;1;rojo;amarillo;738;110;2025-10-12 17:18:05
329;20;1;rojo;azul;695;227;2025-10-12 17:18:05
330;20;1;blanco;violeta;21;118;2025-10-12 17:18:06
331;20;1;rojo;verde;87;518;2025-10-12 17:18:06
332;20;1;rojo;azul;232;61;2025-10-12 17:18:07
333;20;1;rojo;violeta;513;68;2025-10-12 17:18:08
334;20;1;blanco;violeta;412;46;2025-10-12 17:18:09
335;20;1;blanco;violeta;371;133;2025-10-12 17:18:10
336;20;1;rojo;violeta;669;55;2025-10-12 17:18:10
337;20;1;blanco;azul;30;523;2025-10-12 17:18:11
338;21;1;blanco;violeta;353;314;2025-10-12 17:18:59
339;21;1;blanco;violeta;577;226;2025-10-12 17:19:03
340;21;1;blanco;azul;327;133;2025-10-12 17:19:04
341;21;1;blanco;violeta;303;366;2025-10-12 17:19:06
342;21;1;blanco;azul;496;211;2025-10-12 17:19:07
343;21;1;blanco;violeta;573;134;2025-10-12 17:19:07
344;21;1;blanco;verde;664;109;2025-10-12 17:19:08
345;21;1;blanco;verde;106;249;2025-10-12 17:19:11
346;21;1;blanco;violeta;186;100;2025-10-12 17:19:11
347;21;1;blanco;amarillo;587;354;2025-10-12 17:19:12
348;21;1;blanco;verde;645;337;2025-10-12 17:19:13
349;21;1;blanco;violeta;708;435;2025-10-12 17:19:13
350;21;1;rojo;violeta;518;143;2025-10-12 17:19:15
351;21;1;blanco;verde;34;165;2025-10-12 17:19:15
352;21;1;blanco;azul;321;425;2025-10-12 17:19:16
353;21;1;rojo;violeta;446;308;2025-10-12 17:19:18
354;21;1;blanco;amarillo;659;112;2025-10-12 17:19:18
355;21;1;blanco;violeta;213;330;2025-10-12 17:19:20
356;21;1;rojo;verde;742;407;2025-10-12 17:19:20
357;21;1;blanco;verde;108;430;2025-10-12 17:19:20
358;21;1;rojo;verde;297;470;2025-10-12 17:19:21
359;21;1;rojo;verde;181;30;2025-10-12 17:19:23
360;21;1;rojo;verde;171;12;2025-10-12 17:19:23
361;21;1;rojo;azul;158;105;2025-10-12 17:19:23
362;21;1;rojo;violeta;374;121;2025-10-12 17:19:24
363;21;1;blanco;azul;500;472;2025-10-12 17:19:24
364;21;1;rojo;verde;558;312;2025-10-12 17:19:24
365;21;1;blanco;verde;244;233;2025-10-12 17:19:25
366;21;1;rojo;amarillo;388;541;2025-10-12 17:19:25
367;21;1;rojo;violeta;527;179;2025-10-12 17:19:26
368;21;1;rojo;amarillo;759;249;2025-10-12 17:19:27
369;23;1;blanco;verde;553;406;2025-10-12 20:03:22
370;23;1;blanco;amarillo;540;347;2025-10-12 20:03:22
371;23;1;blanco;violeta;93;313;2025-10-12 20:03:24
372;23;1;blanco;azul;269;489;2025-10-12 20:03:25
373;23;1;rojo;violeta;324;80;2025-10-12 20:03:25
374;23;1;blanco;verde;729;204;2025-10-12 20:03:26
375;23;1;blanco;amarillo;604;127;2025-10-12 20:03:27
376;23;1;rojo;violeta;325;517;2025-10-12 20:03:27
377;23;1;blanco;violeta;358;77;2025-10-12 20:03:27
378;23;1;blanco;violeta;153;521;2025-10-12 20:03:30
379;23;1;blanco;verde;387;321;2025-10-12 20:03:33
380;23;1;rojo;violeta;723;355;2025-10-12 20:03:34
381;23;1;blanco;azul;382;247;2025-10-12 20:03:34
382;23;1;blanco;verde;471;156;2025-10-12 20:03:34
383;23;1;rojo;azul;332;520;2025-10-12 20:03:34
384;23;1;rojo;verde;320;507;2025-10-12 20:03:34
385;23;1;rojo;violeta;168;297;2025-10-12 20:03:35
386;23;1;rojo;violeta;359;137;2025-10-12 20:03:36
387;23;1;rojo;amarillo;432;26;2025-10-12 20:03:37
388;23;1;blanco;violeta;145;433;2025-10-12 20:03:37
389;23;1;rojo;verde;73;18;2025-10-12 20:03:37
390;23;1;blanco;violeta;34;252;2025-10-12 20:03:37
391;23;1;blanco;violeta;435;165;2025-10-12 20:03:39
392;23;1;rojo;verde;375;457;2025-10-12 20:03:40
393;23;1;blanco;violeta;732;481;2025-10-12 20:03:40
394;23;1;blanco;verde;550;475;2025-10-12 20:03:40
395;23;1;rojo;amarillo;551;120;2025-10-12 20:03:41
396;23;1;blanco;azul;334;395;2025-10-12 20:03:43
397;23;1;rojo;violeta;43;394;2025-10-12 20:03:44
398;23;1;rojo;verde;117;430;2025-10-12 20:03:44
399;23;1;blanco;amarillo;622;108;2025-10-12 20:03:45
400;23;1;blanco;amarillo;659;97;2025-10-12 20:03:45
401;23;1;rojo;verde;359;272;2025-10-12 20:03:45
402;23;1;rojo;violeta;457;433;2025-10-12 20:03:46
403;23;1;blanco;amarillo;286;226;2025-10-12 20:03:46
404;23;1;rojo;verde;574;321;2025-10-12 20:03:47
405;23;1;rojo;amarillo;735;144;2025-10-12 20:03:48
406;23;1;rojo;verde;567;164;2025-10-12 20:03:48
407;23;1;rojo;violeta;430;382;2025-10-12 20:03:49
408;23;1;rojo;azul;111;136;2025-10-12 20:03:50
409;23;1;blanco;verde;643;229;2025-10-12 20:03:50
410;23;1;blanco;verde;623;231;2025-10-12 20:03:50
411;23;1;rojo;azul;125;88;2025-10-12 20:03:50
412;23;1;rojo;amarillo;124;80;2025-10-12 20:03:50
413;24;1;blanco;verde;536;430;2025-10-12 20:04:22
414;24;1;rojo;violeta;153;167;2025-10-12 20:04:22
415;24;1;rojo;verde;429;16;2025-10-12 20:04:23
416;24;1;rojo;violeta;450;28;2025-10-12 20:04:23
417;24;1;rojo;amarillo;297;471;2025-10-12 20:04:25
418;24;1;rojo;amarillo;251;458;2025-10-12 20:04:25
419;24;1;blanco;amarillo;99;268;2025-10-12 20:04:25
420;24;1;blanco;violeta;206;377;2025-10-12 20:04:26
421;24;1;rojo;azul;41;474;2025-10-12 20:04:27
422;24;1;rojo;azul;335;457;2025-10-12 20:04:27
423;24;1;rojo;violeta;594;501;2025-10-12 20:04:28
424;24;1;blanco;azul;512;105;2025-10-12 20:04:28
425;24;1;blanco;amarillo;329;335;2025-10-12 20:04:29
426;24;1;blanco;amarillo;256;344;2025-10-12 20:04:29
427;24;1;rojo;azul;646;292;2025-10-12 20:04:30
428;24;1;rojo;amarillo;683;62;2025-10-12 20:04:30
429;24;1;rojo;verde;245;244;2025-10-12 20:04:33
430;24;1;rojo;violeta;115;454;2025-10-12 20:04:34
431;24;1;rojo;azul;577;559;2025-10-12 20:04:35
432;24;1;rojo;violeta;514;494;2025-10-12 20:04:35
433;24;1;rojo;azul;569;213;2025-10-12 20:04:36
434;24;1;blanco;violeta;177;147;2025-10-12 20:04:36
435;24;1;rojo;verde;674;318;2025-10-12 20:04:36
436;24;1;blanco;violeta;423;79;2025-10-12 20:04:37
437;24;1;blanco;verde;504;58;2025-10-12 20:04:37
438;24;1;blanco;azul;489;488;2025-10-12 20:04:39
439;24;1;blanco;azul;269;547;2025-10-12 20:04:42
440;24;1;rojo;amarillo;303;402;2025-10-12 20:04:42
441;24;1;blanco;verde;558;402;2025-10-12 20:04:43
442;24;1;rojo;azul;443;346;2025-10-12 20:04:43
443;24;1;rojo;azul;478;266;2025-10-12 20:04:43
444;24;1;blanco;verde;637;61;2025-10-12 20:04:46
445;24;1;blanco;azul;226;483;2025-10-12 20:04:47
446;24;1;rojo;violeta;100;491;2025-10-12 20:04:48
447;24;1;rojo;verde;118;16;2025-10-12 20:04:49
448;25;1;blanco;amarillo;669;314;2025-10-12 20:05:00
449;25;1;blanco;azul;434;122;2025-10-12 20:05:01
450;25;1;blanco;amarillo;147;169;2025-10-12 20:05:02
451;25;1;blanco;verde;77;295;2025-10-12 20:05:02
452;25;1;blanco;verde;641;125;2025-10-12 20:05:04
453;25;1;rojo;azul;257;241;2025-10-12 20:05:05
